CID,TID,Track Duration (min),Track Length (µm),Meandering Index,Euclidean Distance (µm),Mean Speed (µm/min),Track Present at Start or End?,Track Never Divides/Breaks?,Start Time: Total Time,End Time: Total Time,Track Duration: Total Time
7.0,2.0,1748.0,662.202,0.19565450027318732,129.5628013899052,0.3788340961098398,False,False,0.1590909090909091,0.44696969696969696,0.2878787878787879
7.0,3.0,3197.0,1255.817,0.11060964992800763,138.90547874364077,0.3928110728808258,False,False,0.1590909090909091,0.6856060606060606,0.5265151515151515
7.0,4.0,3312.0,865.998,0.25865364105255356,223.99353584422929,0.26147282608695654,False,False,0.45075757575757575,0.9962121212121212,0.5454545454545454
7.0,5.0,3312.0,991.377,0.31479480120830633,312.0803256374871,0.29932880434782605,False,False,0.45075757575757575,0.9962121212121212,0.5454545454545454
7.0,6.0,1863.0,840.677,0.7056216181954239,593.1998651196744,0.45124906065485776,False,False,0.6893939393939394,0.9962121212121212,0.3068181818181818
7.0,7.0,1886.0,793.849,0.1427165560665116,113.29539531684418,0.4209167550371156,True,False,0.6893939393939394,1.0,0.3106060606060606
8.0,1.0,1426.0,621.935,0.2841338816149304,176.71280566218172,0.4361395511921458,True,False,0.0,0.23484848484848486,0.23484848484848486
8.0,2.0,1863.0,858.824,0.07122782696552597,61.172167265840876,0.4609898013955985,False,False,0.23863636363636365,0.5454545454545454,0.3068181818181818
8.0,3.0,1863.0,573.444,0.1264982880829106,72.5396843114166,0.30780676328502415,False,False,0.23863636363636365,0.5454545454545454,0.3068181818181818
8.0,4.0,1725.0,504.663,0.3478560029088803,175.55005399600427,0.2925582608695652,False,False,0.5492424242424242,0.8333333333333334,0.2840909090909091
8.0,5.0,2737.0,1009.013,0.13867749067978544,139.92739090328234,0.3686565582754841,True,False,0.5492424242424242,1.0,0.45075757575757575
8.0,6.0,2714.0,822.914,0.4341283450081159,357.2502929040087,0.303210759027266,False,False,0.5492424242424242,0.9962121212121212,0.44696969696969696
8.0,7.0,2553.0,904.38,0.2621804486975125,237.11075419305638,0.3542420681551116,False,False,0.5492424242424242,0.9696969696969697,0.42045454545454547
8.0,8.0,161.0,25.373,0.7439423811538968,18.876050037017823,0.15759627329192546,True,False,0.9734848484848485,1.0,0.026515151515151516
8.0,9.0,138.0,20.658,0.39750631495197714,8.211685454277944,0.14969565217391306,False,False,0.9734848484848485,0.9962121212121212,0.022727272727272728
