CID	TID	track.duration	track.length	meandering.index	euclidean.distance	mean.speed	track.present.at.start.or.end	track.never.divides	start.time.total.time	end.time.total.time	track.duration.total.time	cell.line
4	15	1610	381.927	0.3861991673445426	147.49988938639913	0.2372217391304348	FALSE	FALSE	0.7300380228136882	0.9961977186311788	0.2661596958174905	B2
4	16	598	131.393	0.23571963989687303	30.97191064496984	0.2197207357859532	FALSE	FALSE	0.8973384030418251	0.9961977186311788	0.0988593155893536	B2
4	17	598	138.469	0.6429304187552856	89.02593215462564	0.2315535117056856	FALSE	FALSE	0.8973384030418251	0.9961977186311788	0.0988593155893536	B2
4	18	552	77.391	0.6106381356231299	47.25789595400965	0.14020108695652175	FALSE	FALSE	0.9049429657794676	0.9961977186311788	0.09125475285171104	B2
4	19	552	140.48	0.6890245737693553	96.79417212311904	0.2544927536231884	FALSE	FALSE	0.9049429657794676	0.9961977186311788	0.09125475285171104	B2
5	1	3013	527.904	0.02724611151897093	14.38333125531083	0.17520876203119817	TRUE	FALSE	0	0.49809885931558934	0.49809885931558934	B2
5	2	1656	536.719	0.4425141962441289	237.50577689395263	0.32410567632850246	FALSE	FALSE	0.5019011406844106	0.7756653992395437	0.2737642585551331	B2
5	3	2806	877.302	0.3224854432711861	282.9171243526981	0.3126521739130435	FALSE	FALSE	0.5019011406844106	0.9657794676806084	0.46387832699619774	B2
5	4	1334	378.575	0.18126360613303005	68.62186969181184	0.28378935532233884	TRUE	FALSE	0.779467680608365	1	0.22053231939163495	B2
5	5	1334	349.457	0.4036520909759594	141.05904875618583	0.2619617691154423	TRUE	FALSE	0.779467680608365	1	0.22053231939163495	B2
5	6	184	20.088	0.5247800919378386	10.541782486847302	0.10917391304347826	TRUE	FALSE	0.9695817490494296	1	0.03041825095057034	B2
5	7	184	50.382	0.923568781800516	46.531242364673595	0.2738152173913043	TRUE	FALSE	0.9695817490494296	1	0.03041825095057034	B2
6	1	0	0	NA	0	NA	TRUE	FALSE	0	0	0	B2
6	2	2139	462.828	0.09758717726363948	45.16607807857572	0.2163758765778401	FALSE	FALSE	0.00380228136882129	0.3574144486692015	0.35361216730038025	B2
6	3	1863	400.609	0.226100500955217	90.57789558716853	0.21503435319377348	FALSE	FALSE	0.00380228136882129	0.311787072243346	0.30798479087452474	B2
6	4	1564	422.605	0.20425487491536912	86.31913141360958	0.27020780051150894	FALSE	FALSE	0.3574144486692015	0.6159695817490495	0.2585551330798479	B2
6	5	2185	625.395	0.1310063293068996	81.93070331688847	0.2862219679633867	FALSE	FALSE	0.3612167300380228	0.7224334600760456	0.3612167300380228	B2
6	6	1794	474.864	0.2139059209747072	101.57622125773334	0.26469565217391305	FALSE	FALSE	0.311787072243346	0.6083650190114068	0.2965779467680608	B2
6	7	1564	473.92	0.27775239181932493	131.63241353101446	0.30301790281329927	FALSE	FALSE	0.311787072243346	0.5703422053231939	0.2585551330798479	B2
6	8	2116	695.252	0.2418864311471894	168.17202502794572	0.3285689981096408	FALSE	FALSE	0.6197718631178707	0.9695817490494296	0.34980988593155893	B2
6	9	2208	617.138	0.2791848035714358	172.29555130646878	0.27950090579710146	FALSE	FALSE	0.6197718631178707	0.9847908745247148	0.3650190114068441	B2
6	10	1633	369.921	0.2503272212776457	92.60129602224796	0.2265284751990202	FALSE	FALSE	0.7262357414448669	0.9961977186311788	0.26996197718631176	B2
6	11	1633	442.46	0.4216095020798178	186.54534029023617	0.2709491733006736	FALSE	FALSE	0.7262357414448669	0.9961977186311788	0.26996197718631176	B2
6	12	2346	453.835	0.3298967971957392	149.7187129553283	0.19345055413469736	TRUE	FALSE	0.6121673003802282	1	0.38783269961977185	B2
6	13	2093	512.367	0.17354085323824486	88.9166063511198	0.24480028666985187	FALSE	FALSE	0.6121673003802282	0.9581749049429658	0.34600760456273766	B2
6	14	2576	618.527	0.24879718051054417	153.88777366964536	0.24011141304347827	TRUE	FALSE	0.5741444866920152	1	0.4258555133079848	B2
6	15	2231	596.615	0.10432518112961732	62.24196793964664	0.2674204392649036	FALSE	FALSE	0.5741444866920152	0.9429657794676806	0.3688212927756654	B2
6	16	161	45.539	0.9267844385578496	42.20483654748591	0.28285093167701864	TRUE	FALSE	0.973384030418251	1	0.02661596958174904	B2
6	17	161	40.948	0.7412768034085765	30.35380254597439	0.2543354037267081	TRUE	FALSE	0.973384030418251	1	0.02661596958174904	B2
6	18	230	47.353	0.7219136320171238	34.18477621690686	0.20588260869565217	TRUE	FALSE	0.9619771863117872	1	0.03802281368821293	B2
6	19	207	33.403	0.21274805110094383	7.106423150924827	0.1613671497584541	FALSE	FALSE	0.9619771863117872	0.9961977186311788	0.03422053231939163	B2
6	20	138	21.197	0.9167753793671772	19.432887716446057	0.15360144927536232	FALSE	FALSE	0.973384030418251	0.9961977186311788	0.02281368821292775	B2
6	21	138	23.684	0.4205483052146344	9.960266060703402	0.1716231884057971	FALSE	FALSE	0.973384030418251	0.9961977186311788	0.02281368821292775	B2
7	1	736	176.381	0.7478931856328793	131.91414797511288	0.23964809782608695	TRUE	FALSE	0	0.12167300380228135	0.12167300380228135	B2
7	2	1909	523.867	0.5203683959920518	272.6038305031682	0.2744195914091147	FALSE	FALSE	0.12547528517110265	0.4410646387832699	0.3155893536121673	B2
7	3	1587	467.551	0.11481476042959268	53.68175605361648	0.29461310649023315	FALSE	FALSE	0.12547528517110265	0.38783269961977185	0.2623574144486692	B2
7	4	3335	790.091	0.5076180647932896	401.064464430595	0.2369088455772114	FALSE	FALSE	0.4448669201520912	0.9961977186311788	0.5513307984790875	B2
7	5	3335	883.507	0.389063333828474	343.7401788807935	0.26491964017991004	FALSE	FALSE	0.4448669201520912	0.9961977186311788	0.5513307984790875	B2
7	6	3680	1076.962	0.07179754944618144	77.32323244665845	0.29265271739130433	TRUE	FALSE	0.3916349809885932	1	0.6083650190114068	B2
7	7	3657	1018.203	0.390485520346667	397.59352827353734	0.27842575881870385	FALSE	FALSE	0.3916349809885932	0.9961977186311788	0.6045627376425855	B2
8	1	2553	524.912	0.19544939196735336	102.59373123636738	0.20560595377986685	TRUE	FALSE	0	0.4220532319391635	0.4220532319391635	B2
8	2	1426	526.605	0.07217210469519818	38.006191193014836	0.3692882187938289	FALSE	FALSE	0.4258555133079848	0.6615969581749049	0.23574144486692017	B2
8	3	1219	466.623	0.5819515022796387	271.55195584823184	0.382791632485644	FALSE	FALSE	0.4258555133079848	0.6273764258555133	0.20152091254752852	B2
8	4	2001	910.025	0.06297976686919232	57.31316234513674	0.45478510744627687	FALSE	FALSE	0.6653992395437263	0.9961977186311788	0.33079847908745247	B2
8	5	2024	654.924	0.30632075309062573	200.61681289712496	0.3235790513833992	TRUE	FALSE	0.6653992395437263	1	0.33460076045627374	B2
8	6	2231	619.677	0.24814381380755612	153.76901410882496	0.27775750784401615	TRUE	FALSE	0.6311787072243346	1	0.3688212927756654	B2
8	7	2208	592.305	0.26676344271766206	158.0053209388848	0.2682540760869565	FALSE	FALSE	0.6311787072243346	0.9961977186311788	0.3650190114068441	B2
9	1	943	158.763	0.2548346127655283	40.45830762649357	0.16835949098621422	TRUE	FALSE	0	0.155893536121673	0.155893536121673	B2
9	2	2254	567.504	0.4379012254174824	248.51069702932293	0.25177639751552794	FALSE	FALSE	0.1596958174904943	0.532319391634981	0.3726235741444867	B2
9	3	1909	636.144	0.1286187705304624	81.82005916033047	0.3332341540073337	FALSE	FALSE	0.1596958174904943	0.4752851711026616	0.3155893536121673	B2
9	4	2806	905.361	0.2945799968515855	266.7012405295483	0.322651817533856	TRUE	FALSE	0.5361216730038023	1	0.46387832699619774	B2
9	5	2806	728.045	0.03523575359155376	25.653214223562752	0.25946008553100497	TRUE	FALSE	0.5361216730038023	1	0.46387832699619774	B2
9	6	2231	612.593	0.1250215431591066	76.58732218846659	0.27458225011205734	FALSE	FALSE	0.4790874524714829	0.8479087452471483	0.3688212927756654	B2
9	7	2438	495.064	0.5667521434369809	280.5785831384855	0.20306152584085316	FALSE	FALSE	0.4790874524714829	0.8821292775665399	0.40304182509505704	B2
9	8	874	229.277	0.7944733953578879	182.15447666747045	0.2623306636155606	FALSE	FALSE	0.8517110266159695	0.9961977186311788	0.1444866920152091	B2
9	9	874	201.771	0.4575768323850743	92.32573504716883	0.23085926773455376	FALSE	FALSE	0.8517110266159695	0.9961977186311788	0.1444866920152091	B2
9	10	690	119.761	0.49982761809512793	59.85985537069062	0.17356666666666665	TRUE	FALSE	0.8859315589353612	1	0.1140684410646388	B2
9	11	690	201.843	0.8397520973480632	169.49808258502512	0.2925260869565217	TRUE	FALSE	0.8859315589353612	1	0.1140684410646388	B2
